,id,title,type,release_year,lenght,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,genre,country,imdb_score_level,tmdb_score_level
5807,tm1066324,Super Monsters: Once Upon a Rhyme,movie,2021,25,"animation, family",,0,5.8,41,15.1,6.2,animation,,Low score,High score
5808,tm954291,The Door into Summer,movie,2021,118,"drama, scifi",JP,0,6.4,908,14.8,6.0,drama,JP,High score,High score
5809,tm1147041,Chief Daddy 2: Going for Broke,movie,2022,112,comedy,NG,0,3.2,156,13.6,6.0,comedy,NG,Low score,High score
5810,tm1019084,Ginny & Georgia - The Afterparty,movie,2021,35,,"US, CA",0,6.5364428,0,13.5,8.1,,US,,
5811,tm996040,Forever Out of My League,movie,2022,104,"comedy, romance, drama",IT,0,5.4,581,12.9,5.7,comedy,IT,Low score,Low score
5812,ts258114,Bee & Puppycat: Lazy in Space,show,2022,25,"animation, comedy, scifi","US, CA, KR, JP",2,8.6,421,11.1,6.5,animation,US,,High score
5813,tm1167440,My Best Friend Anne Frank,movie,2021,103,drama,NL,0,6.2,4760,11.1,6.8,drama,NL,High score,High score
5814,ts271726,"Go, Dog. Go!",show,2021,24,"animation, family",US,3,7.3,232,10.4,8.4,animation,US,High score,
5815,tm1059008,Lokillo,movie,2021,90,comedy,CO,0,4.1,81,10.1,6.3,comedy,CO,Low score,High score
5816,tm1204412,"Let's Tie the Knot, Honey!",movie,2022,99,"comedy, romance",PE,0,5.5,40,10.0,3.3,comedy,PE,Low score,Low score
5817,ts310938,Neumatt,show,2021,45,"drama, family, romance",CH,2,7.0,906,9.6,7.8,drama,CH,High score,High score
5818,ts315147,Deepa & Anoop,show,2022,20,"comedy, family, music, animation",US,2,8.1,62,9.1,7.7,comedy,US,,High score
5819,tm1107850,Sharkdog’s Fintastic Halloween,movie,2021,24,"animation, fantasy, comedy, family",,0,6.3,41,8.8,3.4,animation,,High score,Low score
5820,ts306510,Octonauts: Above & Beyond,show,2021,25,"animation, family",GB,2,7.6,118,8.7,6.3,animation,GB,High score,High score
5821,ts357880,Scarlet Hill,show,2022,70,"action, thriller",VN,2,6.4,54,8.6,4.0,action,VN,High score,Low score
5822,tm1082536,Untold: Crime & Penalties,movie,2021,85,"crime, documentation, sport",US,0,7.4,4177,8.6,7.0,crime,US,High score,High score
5823,tm1170488,Love Destiny: The Movie,movie,2022,166,"romance, comedy, history",TH,0,6.2,425,8.5,6.0,romance,TH,High score,High score
5824,tm1264649,Tara vs Bilal,movie,2022,126,"romance, comedy, drama",IN,0,5.7,2143,8.4,4.2,romance,IN,Low score,Low score
5825,tm1180123,The House,movie,2022,31,"animation, comedy, drama, thriller, fantasy, horror",GB,0,6.9,9535,8.3,7.1,animation,GB,High score,High score
5826,tm1243795,Rodrigo Marques: King of Uncouth,movie,2022,75,comedy,BR,0,6.5364428,0,8.2,6.2,comedy,BR,,High score
5827,ts345779,Barbie: It Takes Two,show,2022,22,"family, animation, comedy",US,2,6.5,74,8.1,8.2,family,US,High score,
5828,tm1276410,Gatta Kusthi,movie,2022,146,"comedy, drama",IN,0,6.5364428,0,8.0,6.4,comedy,IN,,High score
5829,ts370484,El Secreto de la Familia Greco,show,2022,48,"crime, drama",MX,1,6.2,456,7.9,7.5,crime,MX,High score,High score
5830,tm1195208,HELL DOGS,movie,2022,137,"action, drama, thriller, crime",JP,0,6.7,1244,7.8,6.7,action,JP,High score,High score
5831,tm974195,THE FABLE: The Killer Who Doesn't Kill,movie,2021,132,"comedy, thriller, action",JP,0,6.8,1978,7.6,7.1,comedy,JP,High score,High score
