,release_year,lenght,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,clusters
452,2008,95,0,6.9,1345,20.4,7.1,0
453,2009,43,2,6.5,322,20.1,7.4,0
454,2004,85,0,5.2,3516,13.7,5.3,0
455,2008,0,1,7.0,101,13.6,10.0,0
456,2007,188,0,7.5,20417,10.5,7.1,0
457,2007,160,0,7.0,23565,10.3,6.9,0
458,2010,119,0,6.6,2349,9.5,6.4,0
459,2010,10,1,7.4,638,8.1,7.6,0
460,2006,96,0,7.0,2911,8.0,5.7,0
461,2010,24,1,6.5,427,7.6,8.3,0
462,2001,66,0,8.0,37381,6.2,7.2,0
463,2006,165,0,6.9,11508,6.0,6.1,0
464,2002,169,0,6.2,8682,5.8,5.5,0
465,2010,137,0,8.1,45600,5.7,7.2,0
466,2002,137,0,8.4,8775,5.0,7.6,0
467,2010,88,0,6.5,1494,4.7,6.5,0
468,2009,141,0,6.1,8013,4.3,5.8,0
469,2007,118,0,6.1,2741,4.2,5.3,0
470,2009,55,1,8.1,1822,4.1,7.9,0
471,2003,160,0,8.6,23773,4.0,7.4,0
472,2010,115,0,5.6,3264,4.0,5.9,0
473,2002,92,0,6.6,3598,4.0,6.4,0
474,2006,48,1,7.3,50,3.8,2.2,0
475,2008,69,0,6.6,417,3.7,6.8,0
476,2004,57,0,8.0,3624,3.6,7.2,0
477,2007,95,0,7.3,423,3.5,6.9,0
478,2006,116,0,7.3,10249,3.3,6.5,0
479,2004,161,0,7.3,9068,3.2,6.6,0
480,2003,145,0,6.1,4375,3.1,6.0,0
481,2005,106,0,5.5,1236,3.1,5.0,0
482,2010,146,0,7.5,5721,3.1,6.6,0
483,2005,145,0,7.9,1743,3.0,5.5,0
484,2005,79,0,6.8,90,2.9,10.0,0
485,2009,120,0,7.5,226,2.9,4.8,0
486,2006,225,0,8.7,338,2.8,6.5,0
487,2006,94,0,6.1,1544,2.7,7.1,0
488,2007,99,0,5.8,1176,2.7,6.4,0
489,2008,105,0,6.4,279,2.7,5.7,0
490,2004,47,0,6.5364428,0,2.7,4.7,0
491,2008,173,0,7.1,3237,2.7,5.5,0
492,2006,125,0,4.8,1038,2.7,4.1,0
493,2004,109,0,5.2,1146,2.6,6.0,0
494,2007,91,0,6.5,1028,2.5,6.6,0
495,2008,160,0,4.8,1082,2.5,6.2,0
496,2005,105,0,6.5,3274,2.4,5.9,0
497,2005,90,0,6.2,1395,2.4,6.4,0
498,2009,44,1,5.4,6,2.4,2.0,0
499,2010,110,0,6.6,448,2.4,6.4,0
500,2005,95,0,7.1,1750,2.4,6.9,0
501,2008,120,0,6.4,1243,2.4,6.8,0
502,2005,113,0,6.2,1795,2.4,6.8,0
503,2001,85,0,5.0,78,2.3,4.0,0
504,2004,105,0,6.3,2214,2.3,6.6,0
505,2010,61,0,6.7,404,2.3,6.6,0
506,2006,103,0,5.8,791,2.3,5.5,0
507,2010,44,1,6.7,8,2.3,6.629937,0
508,2008,105,0,6.5,402,2.2,7.3,0
509,2009,29,0,6.5364428,0,2.2,3.4,0
510,2007,73,0,6.9,367,2.2,7.0,0
511,2004,67,0,6.5364428,0,2.0,8.0,0
512,2007,143,0,7.8,3681,2.0,6.8,0
513,2006,112,0,6.4,614,1.8,6.0,0
514,2010,69,0,7.5,52,1.8,7.0,0
515,2002,0,1,8.5,201,1.8,6.629937,0
516,2003,16,0,6.5364428,0,1.7,4.8,0
517,2007,15,1,6.2,5,1.6,10.0,0
518,2006,82,0,6.5364428,0,1.6,5.8,0
519,2009,65,0,8.6,14,1.5,10.0,0
520,2003,105,0,6.5364428,0,1.5,6.6,0
521,2001,56,0,8.3,59,1.4,8.0,0
522,2008,88,0,5.9,413,1.4,6.8,0
523,2004,80,0,6.5364428,0,1.2,4.7,0
524,2010,44,2,8.0,25,1.2,6.629937,0
525,2004,100,0,6.5364428,0,0.7,5.1,0
526,2009,153,0,5.7,77,0.6,6.0,0
527,2002,30,1,6.5364428,0,18.541842,6.629937,0
528,2008,105,0,3.6,492,18.541842,6.629937,0
531,2011,59,5,8.8,560631,91.1,8.3,1
533,2012,142,0,7.2,930840,38.6,7.2,1
534,2011,21,7,7.8,229926,122.4,7.3,1
535,2012,42,8,7.5,435150,239.8,6.8,1
536,2012,143,0,7.8,704692,46.1,7.2,1
537,2012,22,5,8.3,23166,15.3,7.6,0
538,2012,53,6,8.3,36835,32.6,7.7,0
539,2012,109,0,7.2,568067,32.7,6.9,1
540,2011,23,1,9.0,106715,165.4,8.7,0
541,2012,134,0,6.2,144697,19.2,5.8,0
542,2012,23,4,8.4,124910,65.3,8.3,0
543,2012,22,6,7.5,33349,24.8,6.2,0
544,2012,157,0,7.5,334080,20.7,7.3,1
545,2012,24,5,7.9,11964,55.7,8.3,0
546,2012,59,5,8.4,7694,8.8,7.2,0
547,2011,102,0,6.5,508361,73.6,6.5,1
548,2011,107,0,7.2,272942,49.6,6.8,1
549,2012,24,5,8.5,26839,236.0,8.7,0
550,2012,23,4,7.5,47535,96.6,8.2,0
551,2011,42,8,7.7,226,5.8,6.0,0
552,2011,42,3,8.0,2445,300.6,7.8,0
553,2012,45,3,7.9,30686,24.3,7.4,0
556,2011,48,2,8.4,27390,13.3,7.3,0
557,2012,40,5,8.1,8718,13.5,7.6,0
558,2012,107,0,7.0,515,2.3,4.5,0
559,2012,131,0,6.4,131741,16.3,6.3,0
560,2011,45,1,6.8,169,6.9,7.3,0
561,2012,103,0,6.6,154654,25.6,6.4,0
562,2011,113,0,6.8,264109,52.1,6.7,1
